alias,wbgene
ceh-36,WBGene00000457
C37E2.4,WBGene00000457
ceh-37,WBGene00000458
C37E2.5,WBGene00000458
ceh-38,WBGene00000459
F22D3.1,WBGene00000459
ceh-39,WBGene00000460
T26C11.7,WBGene00000460
ceh-40,WBGene00000461
F17A2.5,WBGene00000461
ceh-41,WBGene00000462
T26C11.5,WBGene00000462
ceh-43,WBGene00000463
C28A5.4,WBGene00000463
ceh-44,WBGene00000464
Y54F10AM.4,WBGene00000464
cpg-1,WBGene00000465
C07G2.1,WBGene00000465
cel-1,WBGene00000466
C03D6.3,WBGene00000466
cep-1,WBGene00000467
F52B5.5,WBGene00000467
ces-1,WBGene00000468
F43G9.11,WBGene00000468
ces-2,WBGene00000469
ZK909.4,WBGene00000469
cey-1,WBGene00000472
F33A8.3,WBGene00000472
cey-2,WBGene00000473
F46F11.2,WBGene00000473
cey-3,WBGene00000474
M01E11.5,WBGene00000474
cey-4,WBGene00000475
Y39A1C.3,WBGene00000475
cfi-1,WBGene00000476
T23D8.8,WBGene00000476
cft-1,WBGene00000477
C18C4.2,WBGene00000477
cfz-2,WBGene00000478
F27E11.3,WBGene00000478
cgh-1,WBGene00000479
C07H6.5,WBGene00000479
cgp-1,WBGene00000480
Y38C9A.2,WBGene00000480
chd-3,WBGene00000482
T14G8.1,WBGene00000482
che-1,WBGene00000483
C55B7.12,WBGene00000483
che-2,WBGene00000484
F38G1.1,WBGene00000484
che-3,WBGene00000485
F18C12.1,WBGene00000485
che-6,WBGene00000487
C23H5.7,WBGene00000487
che-7,WBGene00000488
F26D11.10,WBGene00000488
che-11,WBGene00000490
C27A7.4,WBGene00000490
che-12,WBGene00000491
B0024.8,WBGene00000491
che-13,WBGene00000492
F59C6.7,WBGene00000492
che-14,WBGene00000493
F56H1.1,WBGene00000493
chs-1,WBGene00000496
T25G3.2,WBGene00000496
chs-2,WBGene00000497
F48A11.1,WBGene00000497
chk-1,WBGene00000498
Y39H10A.7,WBGene00000498
chk-2,WBGene00000499
Y60A3A.12,WBGene00000499
chn-1,WBGene00000500
T09B4.10,WBGene00000500
cho-1,WBGene00000501
C48D1.3,WBGene00000501
chp-1,WBGene00000502
Y110A7A.13,WBGene00000502
cht-1,WBGene00000503
C04F6.3,WBGene00000503
cic-1,WBGene00000506
H14E04.5,WBGene00000506
cit-1.1,WBGene00000507
F44B9.4,WBGene00000507
cit-1.2,WBGene00000508
F44B9.3,WBGene00000508
cka-1,WBGene00000509
C28D4.2,WBGene00000509
cka-2,WBGene00000510
C52B9.1,WBGene00000510
ckb-1,WBGene00000511
B0285.8,WBGene00000511
ckb-2,WBGene00000512
B0285.9,WBGene00000512
ckb-3,WBGene00000513
B0285.10,WBGene00000513
ckb-4,WBGene00000514
F22F7.5,WBGene00000514
ckc-1,WBGene00000515
T27A10.3,WBGene00000515
cki-1,WBGene00000516
T05A6.1,WBGene00000516
cki-2,WBGene00000517
T05A6.2,WBGene00000517
ckk-1,WBGene00000518
C05H8.1,WBGene00000518
cku-70,WBGene00000519
Y47D3A.4,WBGene00000519
cku-80,WBGene00000520
R07E5.8,WBGene00000520
cky-1,WBGene00000521
C15C8.2,WBGene00000521
clc-1,WBGene00000522
C09F12.1,WBGene00000522
clc-2,WBGene00000523
C01C10.1,WBGene00000523
clc-3,WBGene00000524
ZK563.4,WBGene00000524
clc-4,WBGene00000525
T05A10.2,WBGene00000525
clc-5,WBGene00000526
C01C10.4,WBGene00000526
cle-1,WBGene00000527
C36B1.1,WBGene00000527
clh-1,WBGene00000528
T27D12.2,WBGene00000528
clh-2,WBGene00000529
B0491.8,WBGene00000529
clh-3,WBGene00000530
E04F6.11,WBGene00000530
clh-4,WBGene00000531
T06F4.2,WBGene00000531
clh-5,WBGene00000532
C07H4.2,WBGene00000532
clh-6,WBGene00000533
R07B7.1,WBGene00000533
cpi-2,WBGene00000534
R01B10.1,WBGene00000534
cpi-1,WBGene00000535
K08B4.6,WBGene00000535
clk-1,WBGene00000536
ZC395.2,WBGene00000536
clk-2,WBGene00000537
C07H6.6,WBGene00000537
cln-3.1,WBGene00000539
F07B10.1,WBGene00000539
cln-3.2,WBGene00000540
C01G8.2,WBGene00000540
cln-3.3,WBGene00000541
ZC190.1,WBGene00000541
clp-1,WBGene00000542
C06G4.2,WBGene00000542
clp-2,WBGene00000543
T04A8.16,WBGene00000543
clp-3,WBGene00000544
Y47H10A.1,WBGene00000544
clp-4,WBGene00000545
Y39A3CL.5,WBGene00000545
clp-6,WBGene00000546
Y77E11A.10,WBGene00000546
clp-7,WBGene00000547
Y77E11A.11,WBGene00000547
clr-1,WBGene00000548
F56D1.4,WBGene00000548
cls-2,WBGene00000549
R107.6,WBGene00000549
clu-1,WBGene00000550
F55H2.6,WBGene00000550
clx-1,WBGene00000551
C50F7.2,WBGene00000551
cmd-1,WBGene00000552
T21H3.3,WBGene00000552
cmk-1,WBGene00000553
K07A9.2,WBGene00000553
cnb-1,WBGene00000554
F55C10.1,WBGene00000554
cnc-1,WBGene00000555
R09B5.2,WBGene00000555
cnc-2,WBGene00000556
R09B5.3,WBGene00000556
cnc-3,WBGene00000557
R09B5.8,WBGene00000557
cnc-4,WBGene00000558
R09B5.9,WBGene00000558
cnc-5,WBGene00000559
R09B5.10,WBGene00000559
cnc-6,WBGene00000560
Y46E12A.1,WBGene00000560
cnd-1,WBGene00000561
C34E10.7,WBGene00000561
cng-1,WBGene00000562
F14H8.6,WBGene00000562
cng-3,WBGene00000563
F38E11.12,WBGene00000563
cnk-1,WBGene00000564
R01H10.8,WBGene00000564
cnt-1,WBGene00000565
Y17G7B.15,WBGene00000565
cnt-2,WBGene00000566
Y39A1A.15,WBGene00000566
cnx-1,WBGene00000567
ZK632.6,WBGene00000567
cof-2,WBGene00000583
C48E7.5,WBGene00000583
cog-1,WBGene00000584
R03C1.3,WBGene00000584
cogc-2,WBGene00000585
C06G3.10,WBGene00000585
coh-1,WBGene00000591
K08A8.3,WBGene00000591
coh-3,WBGene00000592
F08H9.1,WBGene00000592
col-2,WBGene00000593
W01B6.7,WBGene00000593
col-3,WBGene00000594
T28C6.6,WBGene00000594
col-7,WBGene00000596
C15A11.5,WBGene00000596
col-8,WBGene00000597
F11H8.3,WBGene00000597
col-9,WBGene00000598
F54B11.1,WBGene00000598
col-10,WBGene00000599
B0222.8,WBGene00000599
col-12,WBGene00000601
F15H10.1,WBGene00000601
col-13,WBGene00000602
F15H10.2,WBGene00000602
col-14,WBGene00000603
C46A5.3,WBGene00000603
col-17,WBGene00000606
F11G11.10,WBGene00000606
col-19,WBGene00000608
ZK1193.1,WBGene00000608
col-20,WBGene00000609
F11G11.11,WBGene00000609
col-33,WBGene00000610
F36A4.6,WBGene00000610
col-34,WBGene00000611
F36A4.10,WBGene00000611
col-35,WBGene00000612
C15A11.1,WBGene00000612
col-36,WBGene00000613
C27H5.5,WBGene00000613
col-37,WBGene00000614
ZK863.2,WBGene00000614
col-38,WBGene00000615
F54C9.4,WBGene00000615
col-39,WBGene00000616
C09G5.4,WBGene00000616
col-40,WBGene00000617
T13B5.4,WBGene00000617
col-41,WBGene00000618
T10B10.1,WBGene00000618
col-43,WBGene00000620
ZC513.8,WBGene00000620
col-44,WBGene00000621
F54B11.2,WBGene00000621
col-45,WBGene00000622
F53G12.7,WBGene00000622
col-46,WBGene00000623
Y18H1A.13,WBGene00000623
col-47,WBGene00000624
Y18H1A.12,WBGene00000624
col-48,WBGene00000625
Y54E10BL.2,WBGene00000625
col-49,WBGene00000626
K09H9.3,WBGene00000626
col-50,WBGene00000627
T28F2.6,WBGene00000627
col-51,WBGene00000628
T28F2.8,WBGene00000628
col-52,WBGene00000629
D1007.2,WBGene00000629
col-53,WBGene00000630
M01A12.1,WBGene00000630
col-54,WBGene00000631
F33D11.3,WBGene00000631
col-55,WBGene00000632
T05E7.2,WBGene00000632
col-56,WBGene00000633
T08B2.2,WBGene00000633
col-58,WBGene00000634
F26B1.4,WBGene00000634
